Name;Code;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
ERSTE GROUP BANK - Environment Pillar Score;O:ERS(ENSCORE);53.01;81.38;78.75;79.7;70.67;72.1;78.63;79.98;80.06;81;NA
#ERROR;;$$ER: 4540,NO DATA VALUES FOUND;;;;;;;;;;
ERSTE GROUP BANK - Governance Pillar Score;O:ERS(CGSCORE);26.07;31.64;41.56;30.24;53.21;54.83;61.04;60.59;88.85;88.02;NA
ERSTE GROUP BANK - Social Pillar Score;O:ERS(SOSCORE);34.57;33.82;35.25;36.39;47.42;47.99;47.3;81.03;78.52;83.55;NA
ERSTE GROUP BANK - CO2 Equivalent Emissions Indirect Scope 3 To Revenues USD in millions;O:ERS(ENERDP0961);0.11;0.12;3.14;2.44;2.89;0.54;0.58;0.38;NA;NA;NA
EUROFINS SCIEN. - DIVIDEND YIELD;F:EUF(DY);0.2;0.31;0.7;0.53;0.64;0.42;0.35;0.39;0.61;0.62;0
EUROFINS SCIEN.;F:EUF(P);48.99;63.74;114.1;188.85;186.55;313.3501;411.25;513.7;391;464.6001;702
EUROFINS SCIEN. - HISTORICAL VOLATILITY 5 YEARS;400E(F:EUF);0.4249;0.4211;0.4187;0.3616;0.3426;0.2868;0.2496;0.22;0.2343;0.2423;0.2594
EUROFINS SCIEN. - RETURN ON EQUITY - TOTAL (%);F:EUF(WC08301);21.12;38.15;19.92;23.19;26.25;15.79;19.98;14.53;11.27;8.3;NA
EUROFINS SCIEN. - Environment Pillar Score;F:EUF(ENSCORE);NA;NA;NA;NA;1.39;1.61;16.8;15.84;15.25;46.52;NA
#ERROR;;$$ER: 4540,NO DATA VALUES FOUND;;;;;;;;;;
EUROFINS SCIEN. - Governance Pillar Score;F:EUF(CGSCORE);NA;NA;NA;NA;27.5;32.62;29.61;39.86;53.23;77.49;NA
EUROFINS SCIEN. - Social Pillar Score;F:EUF(SOSCORE);NA;NA;NA;NA;27.72;44.78;42.1;48.95;55.88;72.92;NA
#ERROR;;$$ER: 0904,NO DATA AVAILABLE;;;;;;;;;;
EVONIK INDUSTRIES - DIVIDEND YIELD;D:EVK(DY);NA;NA;NA;0;3.97;3.1;4.41;3.64;4.32;4.42;4.86
EVONIK INDUSTRIES;D:EVK(P);NA;NA;NA;27.631;25.215;32.262;26.087;31.604;26.63;26;23.66
EVONIK INDUSTRIES - HISTORICAL VOLATILITY 5 YEARS;400E(D:EVK);NA;NA;NA;0.2515;0.2054;0.2247;0.2233;0.2171;0.2055;0.2376;0.3336
EVONIK INDUSTRIES - RETURN ON EQUITY - TOTAL (%);D:EVK(WC08301);14.53;17.8;18.33;33.87;8.62;14.24;11.14;9.5;12.3;25.22;NA
EVONIK INDUSTRIES - Environment Pillar Score;D:EVK(ENSCORE);NA;NA;NA;88.01;86.23;88.83;90.92;90.58;89.15;89.08;NA
EVONIK INDUSTRIES - RESEARCH & DEVELOPMENT/SALES;D:EVK(WC08341);2.54;2.51;2.88;3.06;3.2;3.21;3.44;3.18;3.06;3.27;NA
EVONIK INDUSTRIES - Governance Pillar Score;D:EVK(CGSCORE);NA;NA;NA;62.72;62.89;74.43;73.6;74.14;69.29;51.92;NA
EVONIK INDUSTRIES - Social Pillar Score;D:EVK(SOSCORE);NA;NA;NA;72.65;93.88;93.56;95.08;94.2;93.93;95.38;NA
EVONIK INDUSTRIES - CO2 Equivalent Emissions Indirect Scope 3 To Revenues USD in millions;D:EVK(ENERDP0961);NA;NA;NA;954.12;1203.17;1233.93;1461.32;1174.81;1384.08;NA;NA
GBL NEW - DIVIDEND YIELD;B:GBLN(DY);2.88;3.55;3.41;3.07;2.93;2.8;2.77;2.3;2.59;2.32;2.73
GBL NEW;B:GBLN(P);63.06;53.72;57.11;64.68;69.71;74.76;75.24;89.11;80.96;92.68;80.86
GBL NEW - HISTORICAL VOLATILITY 5 YEARS;400E(B:GBLN);0.2157;0.2177;0.2177;0.1714;0.1697;0.1763;0.1672;0.1427;0.1465;0.1415;0.2576
GBL NEW - RETURN ON EQUITY - TOTAL (%);B:GBLN(WC08301);4.33;0.55;2.2;4.95;6.78;7.77;-3.26;4.5;4.06;3.95;NA
GBL NEW - Environment Pillar Score;B:GBLN(ENSCORE);0;2.6;2.54;2.67;2.33;2.63;2.2;1.55;5.35;5.28;NA
#ERROR;;$$ER: 4540,NO DATA VALUES FOUND;;;;;;;;;;
GBL NEW - Governance Pillar Score;B:GBLN(CGSCORE);18.69;25.77;14.44;52.22;34.4;24.17;17.98;20.27;40.51;75.9;NA
GBL NEW - Social Pillar Score;B:GBLN(SOSCORE);4.05;2.96;2.5;2.64;2.51;2.27;2.17;5.2;31.94;41.41;NA
#ERROR;;$$ER: 0904,NO DATA AVAILABLE;;;;;;;;;;
GRIFOLS ORD CL A - DIVIDEND YIELD;E:PROB(DY);2.91;0;0;0.61;1.31;0.81;1.38;1.01;1.55;1.18;1.39
GRIFOLS ORD CL A;E:PROB(P);4.3529;5.3797;11.953;16.2775;17.2775;21.6925;18.395;25.27;26;29.27;26
GRIFOLS ORD CL A - HISTORICAL VOLATILITY 5 YEARS;400E(E:PROB);0.3539;0.3305;0.3205;0.3056;0.3048;0.265;0.2527;0.2384;0.2443;0.2109;0.2548
GRIFOLS ORD CL A - RETURN ON EQUITY - TOTAL (%);E:PROB(WC08301);18.34;4.27;14.5;17.37;19.76;17.87;15.55;18.03;15.19;13.82;NA
GRIFOLS ORD CL A - Environment Pillar Score;E:PROB(ENSCORE);59.47;54.85;65.94;64.85;72.84;59.9;62.6;73.32;76.18;76.71;NA
GRIFOLS ORD CL A - RESEARCH & DEVELOPMENT/SALES;E:PROB(WC08341);3.69;NA;4.38;4.06;5;5.35;4.56;6.34;4.92;4.97;NA
GRIFOLS ORD CL A - Governance Pillar Score;E:PROB(CGSCORE);58.08;32.57;40.93;33.78;64.92;49.37;43.85;47.22;51.54;54.25;NA
GRIFOLS ORD CL A - Social Pillar Score;E:PROB(SOSCORE);31.97;31.8;35.37;40.52;42.84;47.39;56.2;57.38;69.98;85.92;NA
GRIFOLS ORD CL A - CO2 Equivalent Emissions Indirect Scope 3 To Revenues USD in millions;E:PROB(ENERDP0961);0.43;12.48;9.51;9.36;13.03;15.16;16.59;15.28;15.04;15.14;NA
ILIAD - DIVIDEND YIELD;F:ILD(DY);0.47;0.46;0.29;0.22;0.2;0.19;0.24;0.21;0.63;0.8;1.5
ILIAD;F:ILD(P);79.01;86.99;126.5;165.9;184.35;201.75;169.4;209;107.65;113.2;173.6
ILIAD - HISTORICAL VOLATILITY 5 YEARS;400E(F:ILD);0.3213;0.2894;0.2745;0.1976;0.2383;0.2378;0.2562;0.2599;0.2897;0.3173;0.3674
ILIAD - RETURN ON EQUITY - TOTAL (%);F:ILD(WC08301);34.01;19.35;11.65;14.43;13.11;13.54;14.24;12.51;9.29;39.01;NA
ILIAD - Environment Pillar Score;F:ILD(ENSCORE);6.69;6;42.26;47.12;58.96;57.5;51.9;48.41;46.83;48.01;NA
ILIAD - RESEARCH & DEVELOPMENT/SALES;F:ILD(WC08341);0.13;0.09;0.04;0.02;0;0.01;0;0.01;0.02;0.02;NA
ILIAD - Governance Pillar Score;F:ILD(CGSCORE);28.28;33.08;28.78;47.2;53.37;42.44;46.15;20.6;36.56;22.39;NA
ILIAD - Social Pillar Score;F:ILD(SOSCORE);11.56;11.33;47.18;44.67;43.11;49.37;51.99;55.57;53.54;56.83;NA
#ERROR;;$$ER: 0904,NO DATA AVAILABLE;;;;;;;;;;
KION GROUP - DIVIDEND YIELD;D:KGX(DY);NA;NA;NA;0;1.24;1.23;1.44;1.21;1.9;1.98;0.05
KION GROUP;D:KGX(P);NA;NA;NA;28;28.288;44.756;53.573;66.22;52.08;60.5;73.9
KION GROUP - HISTORICAL VOLATILITY 5 YEARS;400E(D:KGX);NA;NA;NA;0.335;0.2749;0.2648;0.258;0.2484;0.2438;0.3159;0.4009
KION GROUP - RETURN ON EQUITY - TOTAL (%);D:KGX(WC08301);NA;NA;199.37;12.29;10.88;12.47;11.23;15.08;12.41;13.24;NA
KION GROUP - Environment Pillar Score;D:KGX(ENSCORE);NA;NA;NA;NA;20.31;11.4;39.72;43.26;45.4;46.03;NA
KION GROUP AG - RESEARCH & DEVELOPMENT/SALES;D:KGX(WC08341);2.92;2.74;2.63;2.53;2.69;2.81;1.73;1.79;1.72;1.76;NA
KION GROUP AG - Governance Pillar Score;D:KGX(CGSCORE);NA;NA;NA;NA;41.89;37.59;52.57;57.87;78.14;80.64;NA
KION GROUP AG - Social Pillar Score;D:KGX(SOSCORE);NA;NA;NA;NA;40.51;55.52;56.72;68.88;67.35;68.19;NA
KION GROUP AG - CO2 Equivalent Emissions Indirect Scope 3 To Revenues USD in millions;D:KGX(ENERDP0961);NA;NA;NA;NA;NA;NA;5.75;3.68;3.66;3.35;NA
MONCLER - DIVIDEND YIELD;I:MONC(DY);NA;NA;NA;NA;0;0.8;0.94;0.78;0.91;1.09;0
MONCLER;I:MONC(P);NA;NA;NA;NA;11.35;14.91;14.88;22.94;30.74;36.56;41.08
MONCLER - HISTORICAL VOLATILITY 5 YEARS;400E(I:MONC);NA;NA;NA;NA;0.2469;0.295;0.2763;0.2638;0.2776;0.2755;0.316
MONCLER - RETURN ON EQUITY - TOTAL (%);I:MONC(WC08301);NA;20.33;12.43;27.87;35.86;34.77;31.38;30.7;33.37;30.2;NA
MONCLER - Environment Pillar Score;I:MONC(ENSCORE);NA;NA;NA;NA;NA;NA;58.38;62.56;83.15;82.52;NA
#ERROR;;$$ER: 4540,NO DATA VALUES FOUND;;;;;;;;;;
MONCLER - Governance Pillar Score;I:MONC(CGSCORE);NA;NA;NA;NA;NA;NA;35.35;36.6;38.93;72.36;NA
MONCLER - Social Pillar Score;I:MONC(SOSCORE);NA;NA;NA;NA;NA;NA;58.25;67.98;81.55;80.4;NA
#ERROR;;$$ER: 0904,NO DATA AVAILABLE;;;;;;;;;;
NATIXIS - DIVIDEND YIELD;F:KN@F(DY);0;0;4.35;2.04;3.09;3.57;5.43;5.35;7.52;7.54;0
NATIXIS;F:KN@F(P);2.9136;1.5236;1.7262;3.6721;4.6668;5.0546;4.1501;5.8996;4.4378;3.979;2.545
NATIXIS - HISTORICAL VOLATILITY 5 YEARS;400E(F:KN@F);0.6911;0.6794;0.6916;0.5568;0.3543;0.353;0.3455;0.2866;0.2665;0.2737;0.5265
NATIXIS - RETURN ON EQUITY - TOTAL (%);F:KN@F(WC08301);8.72;7.77;4.71;4.77;6.24;7.19;7.17;8.8;8.37;9.94;NA
NATIXIS - Environment Pillar Score;F:KN@F(ENSCORE);96.7;88.13;86.89;86.08;92.08;93.76;92.58;92.45;91.19;88.86;NA
#ERROR;;$$ER: 4540,NO DATA VALUES FOUND;;;;;;;;;;
NATIXIS - Governance Pillar Score;F:KN@F(CGSCORE);55.06;42.93;53.66;39.53;35.61;43.75;43.13;53.33;43.08;37.04;NA
NATIXIS - Social Pillar Score;F:KN@F(SOSCORE);42.07;39.59;34.64;35.7;57.93;55.99;53.59;74.86;75.01;74.43;NA
NATIXIS - CO2 Equivalent Emissions Indirect Scope 3 To Revenues USD in millions;F:KN@F(ENERDP0961);0.43;NA;0.76;0.59;0.66;0.65;0.97;3.25;2.47;1.13;NA
NEXI - DIVIDEND YIELD;I:NEXI(DY);NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
NEXI;I:NEXI(P);NA;NA;NA;NA;NA;NA;NA;NA;NA;9.28;14.81
NEXI - HISTORICAL VOLATILITY 5 YEARS;400E(I:NEXI);NA;NA;NA;NA;NA;NA;NA;NA;NA;0.1385;0.4959
NEXI - RETURN ON EQUITY - TOTAL (%);I:NEXI(WC08301);NA;NA;NA;NA;NA;NA;NA;2.56;3.86;15.17;NA
NEXI - Environment Pillar Score;I:NEXI(ENSCORE);NA;NA;NA;NA;NA;NA;NA;NA;38.57;69.99;NA
#ERROR;;$$ER: 4540,NO DATA VALUES FOUND;;;;;;;;;;
NEXI - Governance Pillar Score;I:NEXI(CGSCORE);NA;NA;NA;NA;NA;NA;NA;NA;16.29;20.76;NA
NEXI - Social Pillar Score;I:NEXI(SOSCORE);NA;NA;NA;NA;NA;NA;NA;NA;58.49;56.13;NA
NEXI - CO2 Equivalent Emissions Indirect Scope 3 To Revenues USD in millions;I:NEXI(ENERDP0961);NA;NA;NA;NA;NA;NA;NA;NA;NA;0.38;NA
REMY COINTREAU - DIVIDEND YIELD;F:RCO(DY);2.5;2.2;2.8;1.94;2.21;2.35;2.25;1.49;1.54;2.14;0.64
REMY COINTREAU;F:RCO(P);51.1552;58.151;80.8309;71.0702;56.5768;63.9563;70.0076;108.6274;105.1;123.9;156.9
REMY COINTREAU - HISTORICAL VOLATILITY 5 YEARS;400E(F:RCO);0.3634;0.3529;0.343;0.2995;0.2264;0.2361;0.2411;0.2435;0.2442;0.2139;0.2383
REMY COINTREAU - RETURN ON EQUITY - TOTAL (%);F:RCO(WC08301);8.68;6.78;10.87;12.61;5.93;8.88;9.37;15.76;10.93;11.24;8.01
REMY COINTREAU - Environment Pillar Score;F:RCO(ENSCORE);NA;73.9;65.75;68.5;59.72;71.68;86.32;86.57;87.86;97.36;94.46
#ERROR;;$$ER: 4540,NO DATA VALUES FOUND;;;;;;;;;;
REMY COINTREAU - Governance Pillar Score;F:RCO(CGSCORE);NA;12.03;17.96;9.07;10.32;15.43;35.43;27.79;30.32;37.64;24.32
REMY COINTREAU - Social Pillar Score;F:RCO(SOSCORE);NA;18.12;15.82;18.89;31.49;29.63;23.51;24.7;34.38;51.37;53.72
REMY COINTREAU - CO2 Equivalent Emissions Indirect Scope 3 To Revenues USD in millions;F:RCO(ENERDP0961);NA;NA;NA;NA;NA;NA;NA;115.84;90.97;129.47;152.31
SARTORIUS - DIVIDEND YIELD;D:SRT(DY);1.54;1.87;1.21;1.11;1.01;0.48;0.55;0.62;0.49;0.38;0.1
SARTORIUS;D:SRT(P);6.487;8;16.475;21.2;24.725;55.775;67.986;73.108;103;159;356
SARTORIUS - HISTORICAL VOLATILITY 5 YEARS;400E(D:SRT);0.3922;0.3732;0.3786;0.2813;0.2557;0.2443;0.2662;0.2507;0.2628;0.2928;0.3603
SARTORIUS - RETURN ON EQUITY - TOTAL (%);D:SRT(WC08301);11.29;14.23;15.14;14.94;12.68;27.59;18.76;19.16;20.81;20.21;NA
SARTORIUS - Environment Pillar Score;D:SRT(ENSCORE);NA;NA;NA;NA;NA;56.57;52.88;58.18;60.64;56.31;NA
SARTORIUS - RESEARCH & DEVELOPMENT/SALES;D:SRT(WC08341);6.47;6.04;5.69;6.06;5.66;4.71;4.57;4.9;4.99;5.23;NA
SARTORIUS - Governance Pillar Score;D:SRT(CGSCORE);NA;NA;NA;NA;NA;32.01;43.43;50.12;51.01;62.92;NA
SARTORIUS - Social Pillar Score;D:SRT(SOSCORE);NA;NA;NA;NA;NA;78.71;89.11;89.17;94.64;94.26;NA
#ERROR;;$$ER: 0904,NO DATA AVAILABLE;;;;;;;;;;
SMURFIT KAPPA GROUP - DIVIDEND YIELD;SK3(DY);0;0;1.88;1.74;2.76;2.36;3.38;3.22;3.46;3.13;2.96
SMURFIT KAPPA GROUP;SK3(P);7.563;4.5;7.966;17.63;16.73;25.4;20.68;25.04;25.96;31.96;36.72
SMURFIT KAPPA GROUP - HISTORICAL VOLATILITY 5 YEARS;400E(SK3);0.7337;0.6754;0.6879;0.5301;0.3662;0.3812;0.3393;0.2651;0.2665;0.2561;0.316
SMURFIT KAPPA GROUP - RETURN ON EQUITY - TOTAL (%);SK3(WC08301);2.91;10.96;11.71;8.24;10.64;18.19;19.71;17.24;-24.53;16.67;NA
SMURFIT KAPPA GROUP - Environment Pillar Score;SK3(ENSCORE);NA;NA;87.34;86.39;85;86.91;82.17;80.61;80.05;81.15;NA
SMURFIT KAPPA GROUP - RESEARCH & DEVELOPMENT/SALES;SK3(WC08341);0.04;0.04;0.05;0.1;0.1;0.12;0.09;0.08;0.08;0.09;NA
SMURFIT KAPPA GROUP - Governance Pillar Score;SK3(CGSCORE);NA;NA;67.69;78.33;58.83;72.18;80.11;79.82;84.31;89.32;NA
SMURFIT KAPPA GROUP - Social Pillar Score;SK3(SOSCORE);NA;NA;79.44;80.54;88.6;86.22;79.05;70.81;67.13;81.82;NA
SMURFIT KAPPA GROUP - CO2 Equivalent Emissions Indirect Scope 3 To Revenues USD in millions;SK3(ENERDP0961);NA;NA;47.53;42.06;NA;64.19;67.18;NA;42.3;45.16;NA
SODEXO - DIVIDEND YIELD;F:SDX(DY);2.89;2.89;2.63;2.2;2.28;2.31;2.23;2.31;3.01;2.73;0
SODEXO;F:SDX(P);46.78;50.45;60.38;73.72;78.86;77.8;98.81;103.9;91.5;106.1;71.54
SODEXO - HISTORICAL VOLATILITY 5 YEARS;400E(F:SDX);0.2932;0.2895;0.2605;0.1528;0.1524;0.1612;0.1705;0.1893;0.2173;0.2098;0.3407
SODEXO - RETURN ON EQUITY - TOTAL (%);F:SDX(WC08301);16.41;17.21;18.85;14.67;15.96;20.29;17.27;20.07;19.09;17.19;-8.73
SODEXO - Environment Pillar Score;F:SDX(ENSCORE);74.77;89.05;85.69;68.65;74.34;86.44;92.61;89.29;84.11;77.74;NA
#ERROR;;$$ER: 4540,NO DATA VALUES FOUND;;;;;;;;;;
SODEXO - Governance Pillar Score;F:SDX(CGSCORE);74.58;62.41;67.85;73.08;41.79;34.33;51.79;56.51;57.11;67.4;NA
SODEXO - Social Pillar Score;F:SDX(SOSCORE);94.1;93.43;94.03;93.3;92.86;93.23;95.57;95.16;93.87;88.9;NA
SODEXO - CO2 Equivalent Emissions Indirect Scope 3 To Revenues USD in millions;F:SDX(ENERDP0961);NA;NA;392.47;NA;NA;NA;NA;NA;NA;212.27;NA
SOLVAY - DIVIDEND YIELD;B:SOL(DY);2.91;3.47;2.53;2.15;2.13;2.56;2.36;2.03;2.45;2.55;2.98
SOLVAY;B:SOL(P);71.1177;62.3772;85.3281;109.3034;106.1079;94.5009;100.7;121;102.8;104.5;88
SOLVAY - HISTORICAL VOLATILITY 5 YEARS;400E(B:SOL);0.3302;0.3619;0.3768;0.3579;0.2794;0.29;0.2616;0.2329;0.2086;0.2333;0.3351
SOLVAY - RETURN ON EQUITY - TOTAL (%);B:SOL(WC08301);31.81;3.97;9.48;4.5;1.42;6.44;8.42;14.18;9.64;0.04;NA
SOLVAY - Environment Pillar Score;B:SOL(ENSCORE);55.15;41.01;86.13;86.86;86.35;67.75;57.25;58.83;90.9;88.74;NA
SOLVAY - RESEARCH & DEVELOPMENT/SALES;B:SOL(WC08341);2;1.92;2.03;2.29;2.32;2.15;2.2;2.16;2.11;2.14;NA
SOLVAY - Governance Pillar Score;B:SOL(CGSCORE);68.82;47.28;56.65;81.54;71.6;61.87;44.53;29.15;44.99;67.24;NA
SOLVAY - Social Pillar Score;B:SOL(SOSCORE);50.95;64.71;64.95;63.56;76.31;85.64;83.24;74.55;73.49;70.8;NA
SOLVAY - CO2 Equivalent Emissions Indirect Scope 3 To Revenues USD in millions;B:SOL(ENERDP0961);NA;NA;83.59;76.78;351.53;1315.05;1022.7;683.04;586.47;556.2;NA
SUEZ - DIVIDEND YIELD;F:SEV(DY);4.72;6.56;8.25;5.11;4.89;3.79;4.92;4.24;4.9;3.43;2.79
SUEZ;F:SEV(P);13.775;9.914;7.875;12.71;13.28;17.14;13.2;15.325;13.265;13.135;16.15
SUEZ - HISTORICAL VOLATILITY 5 YEARS;400E(F:SEV);0.2957;0.2951;0.3104;0.3004;0.2781;0.2797;0.258;0.2103;0.2177;0.2015;0.3278
SUEZ - RETURN ON EQUITY - TOTAL (%);F:SEV(WC08301);13.21;6.16;4.64;7.23;8.44;8.32;8.78;5.78;5.96;6.28;NA
SUEZ - Environment Pillar Score;F:SEV(ENSCORE);63.21;62.96;82.27;78.01;81.56;83.93;87.03;88.67;87.93;88.65;NA
SUEZ - RESEARCH & DEVELOPMENT/SALES;F:SEV(WC08341);NA;NA;NA;NA;0.52;0.49;0.48;0.58;0.69;0.66;NA
SUEZ - Governance Pillar Score;F:SEV(CGSCORE);47.53;56.46;43.19;52.94;40.11;44.36;29.18;39.75;66.59;50.37;NA
SUEZ - Social Pillar Score;F:SEV(SOSCORE);75.25;68.28;63.97;62.15;58.28;62.92;67.73;65.8;69.83;82.23;NA
SUEZ - CO2 Equivalent Emissions Indirect Scope 3 To Revenues USD in millions;F:SEV(ENERDP0961);NA;NA;1.11;NA;NA;NA;NA;NA;NA;NA;NA
TERNA RETE ELETTRICA NAZ - DIVIDEND YIELD;I:TRN(DY);5.98;7.71;7.38;5.56;5.29;4.32;5.08;4.01;4.53;4.03;3.98
TERNA RETE ELETTRICA NAZ;I:TRN(P);3.345;2.722;2.846;3.6;3.782;4.626;3.98;5.19;4.959;5.92;6.266
TERNA RETE ELETTRICA NAZ - HISTORICAL VOLATILITY 5 YEARS;400E(I:TRN);0.1854;0.2101;0.2081;0.1909;0.1698;0.1667;0.1319;0.1268;0.1277;0.1253;0.1984
TERNA RETE ELETTRICA NAZ - RETURN ON EQUITY - TOTAL (%);I:TRN(WC08301);23.32;15.93;16.72;17.93;18.05;18.57;18.47;18.76;18.07;18.45;NA
TERNA RETE ELETTRICA NAZ - Environment Pillar Score;I:TRN(ENSCORE);70.73;74.97;67.28;67;64.96;71.44;69.75;79.77;79.53;81.86;NA
TERNA SPA - RESEARCH & DEVELOPMENT/SALES;I:TRN(WC08341);NA;NA;NA;0.94;0.95;NA;NA;NA;NA;NA;NA
TERNA SPA - Governance Pillar Score;I:TRN(CGSCORE);50.73;47.76;43.52;35.33;51.03;45.1;48.12;53.71;74.61;66.09;NA
TERNA SPA - Social Pillar Score;I:TRN(SOSCORE);80.54;72.61;70.99;70.61;79.13;70.44;79.25;80.24;79.09;80.91;NA
TERNA SPA - CO2 Equivalent Emissions Indirect Scope 3 To Revenues USD in millions;I:TRN(ENERDP0961);0.7;0.72;0.65;0.65;0.55;0.59;0.65;1.03;0.6;1.68;NA
UBISOFT ENTERTAINMENT CAT A - DIVIDEND YIELD;F:UBI(DY);0;0;0;0;0;0;0;0;0;0;0
UBISOFT ENTERTAINMENT CAT A;F:UBI(P);7.4013;4.8829;7.177;9.92;13.5;27.07;31.89;66.35;70.3;50.96;80.18
UBISOFT ENTERTAINMENT CAT A - HISTORICAL VOLATILITY 5 YEARS;400E(F:UBI);0.452;0.4584;0.4589;0.4349;0.4005;0.4039;0.4068;0.3994;0.3671;0.3845;0.3798
UBISOFT ENTERTAINMENT CAT A - RETURN ON EQUITY - TOTAL (%);F:UBI(WC08301);-5.77;-7.06;5.05;8.1;-7.95;9.72;9.35;10.02;13.79;11.05;-11.24
UBISOFT ENTERTAINMENT CAT A - Environment Pillar Score;F:UBI(ENSCORE);16.36;13.64;31.82;41.82;47.52;52.66;56.63;33.77;38.62;41.82;41.5
UBISOFT ENTERTAINMENT CAT A - RESEARCH & DEVELOPMENT/SALES;F:UBI(WC08341);1.03;4.85;6.37;5.76;5.25;7.14;5.95;7.6;11.19;12.77;14.56
UBISOFT ENTERTAINMENT CAT A - Governance Pillar Score;F:UBI(CGSCORE);7.98;4.51;6.85;7.99;46.21;42.3;35.77;47.69;49.64;49.17;52.48
UBISOFT ENTERTAINMENT CAT A - Social Pillar Score;F:UBI(SOSCORE);9.12;7.35;12.74;19.76;32.47;38;63.31;71.37;71.09;68.93;71.35
UBISOFT ENTERTAINMENT CAT A - CO2 Equivalent Emissions Indirect Scope 3 To Revenues USD in millions;F:UBI(ENERDP0961);NA;NA;NA;NA;NA;NA;NA;NA;NA;19.34;21.75
UNIPER SE - DIVIDEND YIELD;D:UN01(DY);NA;NA;NA;NA;NA;NA;0;2.32;2.85;3.2;4.07
UNIPER SE;D:UN01(P);NA;NA;NA;NA;NA;NA;12.067;23.75;25.99;28.11;28.28
UNIPER SE - HISTORICAL VOLATILITY 5 YEARS;400E(D:UN01);NA;NA;NA;NA;NA;NA;0.1094;0.2011;0.2203;0.2231;0.2755
UNIPER SE - RETURN ON EQUITY - TOTAL (%);D:UN01(WC08301);NA;NA;NA;NA;-10.36;-22.15;-24.11;-5.38;-3.91;5.45;NA
UNIPER SE - Environment Pillar Score;D:UN01(ENSCORE);NA;NA;NA;NA;NA;NA;64.54;68.06;74.75;70.8;NA
UNIPER SE - RESEARCH & DEVELOPMENT/SALES;D:UN01(WC08341);NA;NA;NA;NA;NA;0.02;0.01;0;NA;NA;NA
UNIPER SE - Governance Pillar Score;D:UN01(CGSCORE);NA;NA;NA;NA;NA;NA;35.06;73.46;70.02;68.19;NA
UNIPER SE - Social Pillar Score;D:UN01(SOSCORE);NA;NA;NA;NA;NA;NA;47.19;56.53;52.95;51.58;NA
UNIPER SE - CO2 Equivalent Emissions Indirect Scope 3 To Revenues USD in millions;D:UN01(ENERDP0961);NA;NA;NA;NA;NA;NA;NA;NA;97.82;117.94;NA
ARGENX - DIVIDEND YIELD;B:ARGX(DY);NA;NA;NA;NA;0;0;0;0;0;0;0
ARGENX;B:ARGX(P);NA;NA;NA;NA;7;9.05;13.5;20.46;82.3;125.5;219.6
ARGENX - HISTORICAL VOLATILITY 5 YEARS;400E(B:ARGX);NA;NA;NA;NA;0.2777;0.4067;0.3549;0.3404;0.5271;0.5066;0.5464
ARGENX - RETURN ON EQUITY - TOTAL (%);B:ARGX(WC08301);NA;-23.84;-56.85;-35.75;-28.74;-35.05;-42.47;-13.75;-15.09;-20.51;NA
ARGENX - Environment Pillar Score;B:ARGX(ENSCORE);NA;NA;NA;NA;NA;NA;NA;0;0;0;NA
ARGENX - RESEARCH & DEVELOPMENT/SALES;B:ARGX(WC08341);NA;409.07;658.21;344.83;332.99;298.21;212.21;140.86;386.91;280.91;NA
ARGENX - Governance Pillar Score;B:ARGX(CGSCORE);NA;NA;NA;NA;NA;NA;NA;21.4;38.41;51.39;NA
ARGENX - Social Pillar Score;B:ARGX(SOSCORE);NA;NA;NA;NA;NA;NA;NA;62.1;60.88;59.91;NA
#ERROR;;$$ER: 0904,NO DATA AVAILABLE;;;;;;;;;;
BAYER (XET) - DIVIDEND YIELD;D:BAYNX(DY);2.55;3.17;2.53;2;1.91;1.87;2.75;2.5;4.47;3.98;5.86
BAYER (XET);D:BAYNX(P);54.126;46.622;64.282;93.382;108.153;118.437;89.367;106.185;62.59;70.43;47.785
BAYER (XET) - HISTORICAL VOLATILITY 5 YEARS;400E(D:BAYNX);0.2814;0.3056;0.3123;0.2515;0.2329;0.2501;0.2339;0.2255;0.2553;0.2583;0.3533
BAYER (XET) - RETURN ON EQUITY - TOTAL (%);D:BAYNX(WC08301);6.9;12.98;12.98;16.28;16.78;18.53;16.6;21.85;4.1;8.77;NA
BAYER (XET) - Environment Pillar Score;D:BAYNX(ENSCORE);75.87;78.49;80.15;80.35;77.99;80.33;81.68;80.34;84.35;85.89;NA
BAYER (XET) - RESEARCH & DEVELOPMENT/SALES;D:BAYNX(WC08341);8.7;8.03;7.58;7.94;8.46;9.24;9.98;12.86;13.25;12.27;NA
BAYER (XET) - Governance Pillar Score;D:BAYNX(CGSCORE);50.99;50.3;38.61;38.47;33.92;39.7;64.52;67.59;78.92;77.92;NA
BAYER (XET) - Social Pillar Score;D:BAYNX(SOSCORE);91.39;91.11;90.51;92.04;94.47;93.71;95.99;96.35;95.82;96.66;NA
BAYER (XET) - CO2 Equivalent Emissions Indirect Scope 3 To Revenues USD in millions;D:BAYNX(ENERDP0961);575.47;710.15;655.81;NA;NA;729.75;NA;NA;203.3;231.94;NA
BECHTLE - DIVIDEND YIELD;D:BC8(DY);2.12;2.72;3.65;2.04;1.8;1.41;1.53;1.07;1.25;0.85;0.68
